WELL_NAME,DATE,_merge
1.0,2021-09-23,left_only
1.0,2021-09-24,left_only
1.0,2021-09-25,left_only
1.0,2021-09-26,left_only
1.0,2021-09-27,left_only
1.0,2021-09-28,left_only
1.0,2021-09-29,left_only
1.0,2021-09-30,left_only
1.0,2021-10-01,left_only
1.0,2021-10-02,left_only
1.0,2021-10-03,left_only
1.0,2021-10-04,left_only
1.0,2021-10-05,left_only
1.0,2021-10-06,left_only
1.0,2021-10-07,left_only
1.0,2021-10-08,left_only
1.0,2021-10-09,left_only
1.0,2021-10-10,left_only
1.0,2021-10-11,left_only
1.0,2021-10-12,left_only
1.0,2021-10-13,left_only
1.0,2021-10-14,left_only
1.0,2021-10-15,left_only
1.0,2021-10-16,left_only
1.0,2021-10-17,left_only
1.0,2021-10-18,left_only
1.0,2021-10-19,left_only
1.0,2021-10-20,left_only
1.0,2021-10-21,left_only
1.0,2021-10-22,left_only
1.0,2021-10-23,left_only
1.0,2021-10-24,left_only
1.0,2021-10-25,left_only
1.0,2021-10-26,left_only
1.0,2021-10-27,left_only
1.0,2021-10-28,left_only
1.0,2021-10-29,left_only
1.0,2021-10-30,left_only
1.0,2021-10-31,left_only
1.0,2021-11-01,left_only
1.0,2021-11-02,left_only
1.0,2021-11-03,left_only
1.0,2021-11-04,left_only
1.0,2021-11-05,left_only
1.0,2021-11-06,left_only
1.0,2021-11-07,left_only
1.0,2021-11-08,left_only
1.0,2021-11-09,left_only
1.0,2021-11-10,left_only
1.0,2021-11-11,left_only
1.0,2021-11-12,left_only
1.0,2021-11-13,left_only
1.0,2021-11-14,left_only
1.0,2021-11-15,left_only
1.0,2021-11-16,left_only
1.0,2021-11-17,left_only
1.0,2021-11-18,left_only
1.0,2021-11-19,left_only
1.0,2021-11-20,left_only
1.0,2021-11-21,left_only
1.0,2021-11-22,left_only
1.0,2021-11-23,left_only
1.0,2021-11-24,left_only
1.0,2021-11-25,left_only
1.0,2021-11-26,left_only
1.0,2021-11-27,left_only
1.0,2021-11-28,left_only
1.0,2021-11-29,left_only
1.0,2021-11-30,left_only
1.0,2021-12-01,left_only
1.0,2021-12-02,left_only
1.0,2021-12-03,left_only
1.0,2021-12-04,left_only
1.0,2021-12-05,left_only
1.0,2021-12-06,left_only
1.0,2021-12-07,left_only
1.0,2021-12-08,left_only
1.0,2021-12-09,left_only
1.0,2021-12-10,left_only
1.0,2021-12-11,left_only
1.0,2021-12-12,left_only
1.0,2021-12-13,left_only
1.0,2021-12-14,left_only
1.0,2021-12-15,left_only
1.0,2021-12-16,left_only
1.0,2021-12-17,left_only
1.0,2021-12-18,left_only
1.0,2021-12-19,left_only
1.0,2021-12-20,left_only
1.0,2021-12-21,left_only
1.0,2021-12-22,left_only
1.0,2021-12-23,left_only
1.0,2021-12-24,left_only
1.0,2021-12-25,left_only
1.0,2021-12-26,left_only
1.0,2021-12-27,left_only
1.0,2021-12-28,left_only
1.0,2021-12-29,left_only
1.0,2021-12-30,left_only
1.0,2021-12-31,left_only
1.0,2022-01-01,left_only
1.0,2022-01-02,left_only
1.0,2022-01-03,left_only
1.0,2022-01-04,left_only
1.0,2022-01-05,left_only
1.0,2022-01-06,left_only
1.0,2022-01-07,left_only
1.0,2022-01-08,left_only
1.0,2022-01-09,left_only
1.0,2022-01-10,left_only
1.0,2022-01-11,left_only
1.0,2022-01-12,left_only
1.0,2022-01-13,left_only
1.0,2022-01-14,left_only
1.0,2022-01-15,left_only
1.0,2022-01-16,left_only
1.0,2022-01-17,left_only
1.0,2022-01-18,left_only
1.0,2022-01-19,left_only
1.0,2022-01-20,left_only
1.0,2022-01-21,left_only
1.0,2022-01-22,left_only
1.0,2022-01-23,left_only
1.0,2022-01-24,left_only
1.0,2022-01-25,left_only
1.0,2022-01-26,left_only
1.0,2022-01-27,left_only
1.0,2022-01-28,left_only
1.0,2022-01-29,left_only
1.0,2022-01-30,left_only
1.0,2022-01-31,left_only
1.0,2022-02-01,left_only
1.0,2022-02-02,left_only
1.0,2022-02-03,left_only
1.0,2022-02-04,left_only
1.0,2022-02-05,left_only
1.0,2022-02-06,left_only
1.0,2022-02-07,left_only
1.0,2022-02-08,left_only
1.0,2022-02-09,left_only
1.0,2022-02-10,left_only
1.0,2022-02-11,left_only
1.0,2022-02-12,left_only
1.0,2022-02-13,left_only
1.0,2022-02-14,left_only
1.0,2022-02-15,left_only
1.0,2022-02-16,left_only
1.0,2022-02-17,left_only
1.0,2022-02-18,left_only
1.0,2022-02-19,left_only
1.0,2022-02-20,left_only
1.0,2022-02-21,left_only
1.0,2022-02-22,left_only
1.0,2022-02-23,left_only
1.0,2022-02-24,left_only
1.0,2022-02-25,left_only
1.0,2022-02-26,left_only
1.0,2022-02-27,left_only
1.0,2022-02-28,left_only
1.0,2022-03-01,left_only
1.0,2022-03-02,left_only
1.0,2022-03-03,left_only
1.0,2022-03-04,left_only
1.0,2022-03-05,left_only
1.0,2022-03-06,left_only
1.0,2022-03-07,left_only
1.0,2022-03-08,left_only
1.0,2022-03-09,left_only
1.0,2022-03-10,left_only
1.0,2022-03-11,left_only
1.0,2022-03-12,left_only
1.0,2022-03-13,left_only
1.0,2022-03-14,left_only
1.0,2022-03-15,left_only
1.0,2022-03-16,left_only
1.0,2022-03-17,left_only
1.0,2022-03-18,left_only
1.0,2022-03-19,left_only
1.0,2022-03-20,left_only
1.0,2022-03-21,left_only
1.0,2022-03-22,left_only
1.0,2022-03-23,left_only
1.0,2022-03-24,left_only
1.0,2022-03-25,left_only
1.0,2022-03-26,left_only
1.0,2022-03-27,left_only
1.0,2022-03-28,left_only
1.0,2022-03-29,left_only
1.0,2022-03-30,left_only
1.0,2022-03-31,left_only
1.0,2022-04-01,left_only
1.0,2022-04-02,left_only
1.0,2022-04-03,left_only
1.0,2022-04-04,left_only
1.0,2022-04-05,left_only
1.0,2022-04-06,left_only
1.0,2022-04-07,left_only
1.0,2022-04-08,left_only
1.0,2022-04-09,left_only
1.0,2022-04-10,left_only
1.0,2022-04-11,left_only
1.0,2022-04-12,left_only
1.0,2022-04-13,left_only
1.0,2022-04-14,left_only
1.0,2022-04-15,left_only
1.0,2022-04-16,left_only
1.0,2022-04-17,left_only
1.0,2022-04-18,left_only
1.0,2022-04-19,left_only
1.0,2022-04-20,left_only
1.0,2022-04-21,left_only
1.0,2022-04-22,left_only
1.0,2022-04-23,left_only
1.0,2022-04-24,left_only
1.0,2022-04-25,left_only
1.0,2022-04-26,left_only
1.0,2022-04-27,left_only
1.0,2022-04-28,left_only
1.0,2022-04-29,left_only
1.0,2022-04-30,left_only
1.0,2022-05-01,left_only
1.0,2022-05-02,left_only
1.0,2022-05-03,left_only
1.0,2022-05-04,left_only
1.0,2022-05-05,left_only
1.0,2022-05-06,left_only
1.0,2022-05-07,left_only
1.0,2022-05-08,left_only
1.0,2022-05-09,left_only
1.0,2022-05-10,left_only
1.0,2022-05-11,left_only
1.0,2022-05-12,left_only
1.0,2022-05-13,left_only
1.0,2022-05-14,left_only
1.0,2022-05-15,left_only
1.0,2022-05-16,left_only
1.0,2022-05-17,left_only
1.0,2022-05-18,left_only
1.0,2022-05-19,left_only
1.0,2022-05-20,left_only
1.0,2022-05-21,left_only
